ticker,name
AAPL,APPLE
ABBV,ABBVIE INC
ABT,ABBOTT LABORATORIES
ACN,ACCENTURE
AIG,AMERICAN INTERNATIONAL
ALL,ALLSTATE
AMGN,AMGEN
AMJ,JPMORGAN ALERIAN MLP INDEX ETN
AMZN,AMAZON.COM
APH,AMPHENOL
AXP,AMERICAN EXPRESS
BA,BOEING
BABA,ALIBABA GROUP HOLDING LIMITED
BIDU,BAIDU
BIIB,BIOGEN INC. COMMON STOCK
BITA,BITAUTO HOLDINGS
BMY,BRISTOL-MYERS SQUIBB
C,CITIGROUP
CAT,CATERPILLAR
CELG,CELGENE
CL,COLGATE-PALMOLIVE
CMCSA,COMCAST
COF,CAPITAL ONE FINANCIAL
COP,CONOCOPHILLIPS
COST,COSTCO WHOLESALE
CVS,CVS HEALTH CORP
CVX,CHEVRON
DAL,DELTA AIR LINES
DGAZ,VELOCITYSHARES 3X INV NATURAL
DHR,DANAHER
DIA,SPDR DOW JONES INDUSTRIAL AVER
DIS,WALT DISNEY
DUK,DUKE ENERGY
DUST,DIREXION DAILY GOLD MINERS BEA
DVN,DEVON ENERGY
DWDP,DOWDUPONT
DWT,VELOCITYSHARES 3X INV CRUDE & S&P
EMR,EMERSON ELECTRIC
ERX,DIREXION DAILY ENERGY BULL 3X
EWW,ISHARES MSCI MEXICO CAPPED IND
EWZ,ISHARES MSCI BRAZIL CAPPED IN
FB,FACEBOOK
FDX,FEDEX
FOX,TWENTY-FIRST CENTURY FOX INC.
GE,GENERAL ELECTRIC
GILD,GILEAD SCIENCES
GLD,SPDR GOLD SHARES
GM,GENERAL MOTORS
GOOG,ALPHABET INC CLASS C
GOOGL,ALPHABET INC CLASS A
GS,GOLDMAN SACHS GROUP
HAL,HALLIBURTON
HD,HOME DEPOT
HEDJ,WISDOMTREE EUROPE HDGD EQY FND
HON,HONEYWELL INTERNATIONAL
HTHT,CHINA LODGING GROUP
IBB,ISHARES NASDAQ BIOTECHNOLOGY E
IBM,INTERNATIONAL BUSINESS MACHINE
INTC,INTEL
IWM,ISHARES RUSSELL 2000 INDEX
JDST,DIREXION DAILY JR GOLD BEAR
JNJ,JOHNSON & JOHNSON
JNUG,DIREXION DAILY JR GOLD BULL
JPM,JPMORGAN CHASE
KRE,SPDR S&P REGIONAL BANKING ETF
LLY,ELI LILLY
LMT,LOCKHEED MARTIN
LOW,LOWE'S COMPANIES
MA,MASTERCARD
MCD,MCDONALD'S
MDLZ,MONDELEZ INTERNATIONAL
MDT,MEDTRONIC PLC
MET,METLIFE
MMM,3M
MO,ALTRIA
MOMO,MOMO INC. AMERICAN DEPOSITARY
MON,MONSANTO COMPANY
MRK,MERCK
MS,MORGAN STANLEY
MSFT,MICROSOFT
NEE,NEXTERA ENERGY
NKE,NIKE
NUGT,DIREXION DAILY GOLD MINERS BUL
OXY,OCCIDENTAL PETROLEUM
PCLN,THE PRICELINE GROUP INC. COMMO
PEP,PEPSICO
PG,PROCTER & GAMBLE
PM,PHILIP MORRIS
PYPL,PAYPAL HOLDINGS CORP
QCOM,QUALCOMM
QQQ,POWERSHARES QQQ
RH,RH
RTN,RAYTHEON CO
SBUX,STARBUCKS
SLB,SCHLUMBERGER
SPG,SIMON PROPERTY GROUP
SPY,SPDR S&P 500
SQQQ,PROSHARES ULTRAPRO SHORT QQQ
T,AT&T
TGT,TARGET
TLT,ISHARES 20+ YEAR TREASURY BOND
TNA,DIREXION DAILY SMALL CAP BULL
TQQQ,PROSHARES ULTRAPRO QQQ
TRV,TRAVELERS COMPANIES
TVIX,VELOCITYSHARES DAILY 2X VIX SH
TWX,TIME WARNER INC
TXN,TEXAS INSTRUMENTS
UCO,PROSHARES ULTRA BLOOMBERG CRUD
UGAZ,VELOCITYSHARES 3X LONG NATURAL
UNH,UNITEDHEALTH GROUP
UNP,UNION PACIFIC
UPS,UNITED PARCEL SERVICE
UTX,UNITED TECHNOLOGIES
UWT,VELOCITY SHS 3X LONG CRUDE OIL TO S&P/GSCI INDEX
V,VISA
VZ,VERIZON COMMUNICATIONS
WBA,WALGREEN BOOTS ALLIANCE INC.
WFC,WELLS FARGO
WMT,WAL-MART STORES
WYNN,WYNN RESORTS
XBI,SPDR S&P BIOTECH
XIV,VELOCITYSHARES DAILY INVERSE V
XLE,ENERGY SELECT SECTOR SPDR
XLK,TECHNOLOGY SELECT SECTOR SPDR
XLV,HEALTH CARE SELECT SECTOR SPDR
XLY,SPDR CONSUMER DISCRET SELECT
XOP,SPDR S&P OIL & GAS EXPLORATION
